Země;PSČ;Obec;Kraj;Okres;Latitude;Longtitude
CZ;10000;Vršovice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10000;Žižkov;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10000;Praha 10-Vršovice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10000;Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10000;Praha 10-Žižkov;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10000;Praha 10-Malešice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10000;Malešice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10000;Praha 10-Strašnice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10000;Praha 10-Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10000;Strašnice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10100;Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10100;Záběhlice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10100;Michle;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10100;Praha 10-Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10100;Praha 10-Záběhlice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10100;Praha 10-Vršovice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10100;Praha 10-Michle;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10100;Vršovice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10200;Praha 10-Hostivař;Hlavní město Praha;Hlavní město Praha;50.0667;14.55
CZ;10200;Štěrboholy;Hlavní město Praha;Hlavní město Praha;50.0667;14.55
CZ;10200;Praha 10-Štěrboholy;Hlavní město Praha;Hlavní město Praha;50.0667;14.55
CZ;10200;Hostivař;Hlavní město Praha;Hlavní město Praha;50.0667;14.55
CZ;10300;Praha 10-Kolovraty;Hlavní město Praha;Hlavní město Praha;50.0125;14.625
CZ;10300;Praha 10-Lipany;Hlavní město Praha;Hlavní město Praha;50.0125;14.625
CZ;10300;Praha 10-Nedvězí;Hlavní město Praha;Hlavní město Praha;50.0125;14.625
CZ;10300;Nedvězí;Hlavní město Praha;Hlavní město Praha;50.0167;14.65
CZ;10300;Lipany;Hlavní město Praha;Hlavní město Praha;50;14.6167
CZ;10300;Praha 10-Benice;Hlavní město Praha;Hlavní město Praha;50.0125;14.625
CZ;10300;Benice;Hlavní město Praha;Hlavní město Praha;50.0167;14.6
CZ;10300;Kolovraty;Hlavní město Praha;Hlavní město Praha;50.0167;14.6333
CZ;10400;Křeslice;Hlavní město Praha;Hlavní město Praha;50.0333;14.5667
CZ;10400;Praha 10-Královice;Hlavní město Praha;Hlavní město Praha;50.0333;14.6033
CZ;10400;Hájek;Hlavní město Praha;Hlavní město Praha;50.05;14.6333
CZ;10400;Praha 10-Hájek;Hlavní město Praha;Hlavní město Praha;50.0333;14.6033
CZ;10400;Uhříněves;Hlavní město Praha;Hlavní město Praha;50.0333;14.6
CZ;10400;Praha 10-Křeslice;Hlavní město Praha;Hlavní město Praha;50.0333;14.6033
CZ;10400;Praha 10-Uhříněves;Hlavní město Praha;Hlavní město Praha;50.0333;14.6033
CZ;10400;Pitkovice;Hlavní město Praha;Hlavní město Praha;50.0167;14.5833
CZ;10400;Královice;Hlavní město Praha;Hlavní město Praha;50.0333;14.6333
CZ;10400;Praha 10-Pitkovice;Hlavní město Praha;Hlavní město Praha;50.0333;14.6033
CZ;10600;Praha 10-Záběhlice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10600;Záběhlice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10700;Praha 10-Dubeč;Hlavní město Praha;Hlavní město Praha;49.6333;12.7167
CZ;10700;Dubeč;Hlavní město Praha;Hlavní město Praha;49.6333;12.7167
CZ;10800;Praha 10-Strašnice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10800;Praha 10-Malešice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10800;Malešice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10800;Hrdlořezy;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10800;Strašnice;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10800;Praha 9-Hrdlořezy;Hlavní město Praha;Hlavní město Praha;50.0036;14.4619
CZ;10900;Praha 10-Petrovice;Hlavní město Praha;Hlavní město Praha;50.0444;14.5611
CZ;10900;Horní Měcholupy;Hlavní město Praha;Hlavní město Praha;50.05;14.5667
CZ;10900;Petrovice;Hlavní město Praha;Hlavní město Praha;50.0333;14.55
CZ;10900;Praha 10-Dolní Měcholupy;Hlavní město Praha;Hlavní město Praha;50.0444;14.5611
CZ;10900;Praha 10-Horní Měcholupy;Hlavní město Praha;Hlavní město Praha;50.0444;14.5611
CZ;10900;Dolní Měcholupy;Hlavní město Praha;Hlavní město Praha;50.05;14.5667
CZ;11000;Staré Město;Hlavní město Praha;Hlavní město Praha;50.4;16.1667
CZ;11000;Nové Město;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11000;Praha 1-Staré Město;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11000;Vinohrady;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11000;Praha 1-Vinohrady;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11000;Praha 1-Josefov;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11000;Josefov;Hlavní město Praha;Hlavní město Praha;50.0902;14.4169
CZ;11000;Praha 1-Nové Město;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11800;Praha 1-Malá Strana;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11800;Praha 1-Hradčany;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11800;Praha 1-Holešovice;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11800;Malá Strana;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11800;Hradčany;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11800;Holešovice;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11900;Hradčany;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;11900;Praha 1-Hradčany;Hlavní město Praha;Hlavní město Praha;50.3667;16.0417
CZ;12000;Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0761;14.4477
CZ;12000;Praha 2-Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0761;14.4477
CZ;12000;Praha 2-Nové Město;Hlavní město Praha;Hlavní město Praha;50.0785;14.4205
CZ;12000;Nové Město;Hlavní město Praha;Hlavní město Praha;50.0783;14.4209
CZ;12800;Praha 2-Nusle;Hlavní město Praha;Hlavní město Praha;50.0646;14.4399
CZ;12800;Nové Město;Hlavní město Praha;Hlavní město Praha;50.0734;14.4153
CZ;12800;Praha 2-Nové Město;Hlavní město Praha;Hlavní město Praha;50.0734;14.4153
CZ;12800;Praha 2-Vyšehrad;Hlavní město Praha;Hlavní město Praha;50.0644;14.42
CZ;12800;Nusle;Hlavní město Praha;Hlavní město Praha;50.0646;14.4399
CZ;12800;Vyšehrad;Hlavní město Praha;Hlavní město Praha;50.0644;14.42
CZ;13000;Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0777;14.4528
CZ;13000;Žižkov;Hlavní město Praha;Hlavní město Praha;50.0815;14.4565
CZ;13000;Praha 10-Malešice;Hlavní město Praha;Hlavní město Praha;50.0877;14.5212
CZ;13000;Praha 3-Strašnice;Hlavní město Praha;Hlavní město Praha;50.0765;14.5104
CZ;13000;Praha 3-Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0777;14.4528
CZ;13000;Praha 3-Vysočany;Hlavní město Praha;Hlavní město Praha;50.0854;14.454
CZ;13000;Malešice;Hlavní město Praha;Hlavní město Praha;50.0877;14.5212
CZ;13000;Praha 3-Žižkov;Hlavní město Praha;Hlavní město Praha;50.0815;14.4565
CZ;13000;Strašnice;Hlavní město Praha;Hlavní město Praha;50.0765;14.5104
CZ;13000;Vysočany;Hlavní město Praha;Hlavní město Praha;50.0854;14.454
CZ;14000;Praha 4-Michle;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14000;Praha 4-Krč;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14000;Praha 4-Podolí;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14000;Praha 4-Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14000;Praha 4-Nusle;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14000;Podolí;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14000;Vinohrady;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14000;Nusle;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14000;Michle;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14000;Krč;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14100;Chodov;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14100;Záběhlice;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14100;Praha 4-Chodov;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14100;Michle;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14100;Praha 4-Michle;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14100;Praha 4-Záběhlice;Hlavní město Praha;Hlavní město Praha;50.0712;14.2758
CZ;14200;Praha 4-Písnice;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Libuš;Hlavní město Praha;Hlavní město Praha;50.0167;14.4667
CZ;14200;Kamýk;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Praha 4-Lhotka;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Praha 4-Modřany;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Praha 4-Libuš;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Modřany;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Praha 4-Kamýk;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Braník;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Praha 4-Braník;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Praha 4-Krč;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Krč;Hlavní město Praha;Hlavní město Praha;49.9667;14.3778
CZ;14200;Písnice;Hlavní město Praha;Hlavní město Praha;49.9833;14.4667
CZ;14200;Lhotka;Hlavní město Praha;Hlavní město Praha;49.9;14.2
CZ;14300;Praha 4-Kamýk;Hlavní město Praha;Hlavní město Praha;50.1611;14.15
CZ;14300;Praha 4-Modřany;Hlavní město Praha;Hlavní město Praha;50.1611;14.15
CZ;14300;Praha 4-Komořany;Hlavní město Praha;Hlavní město Praha;50.1611;14.15
CZ;14300;Modřany;Hlavní město Praha;Hlavní město Praha;50.1611;14.15
CZ;14300;Cholupice;Hlavní město Praha;Hlavní město Praha;49.9833;14.45
CZ;14300;Praha 4-Cholupice;Hlavní město Praha;Hlavní město Praha;50.1611;14.15
CZ;14300;Praha 4-Točná;Hlavní město Praha;Hlavní město Praha;50.1611;14.15
CZ;14300;Komořany;Hlavní město Praha;Hlavní město Praha;50.5333;13.5667
CZ;14300;Točná;Hlavní město Praha;Hlavní město Praha;49.9667;14.4333
CZ;14300;Kamýk;Hlavní město Praha;Hlavní město Praha;50.1611;14.15
CZ;14700;Praha 4-Podolí;Hlavní město Praha;Hlavní město Praha;50.0333;14.4167
CZ;14700;Braník;Hlavní město Praha;Hlavní město Praha;50.0333;14.4167
CZ;14700;Praha 4-Braník;Hlavní město Praha;Hlavní město Praha;50.0333;14.4167
CZ;14700;Praha 4-Hodkovičky;Hlavní město Praha;Hlavní město Praha;50.0333;14.4167
CZ;14700;Podolí;Hlavní město Praha;Hlavní město Praha;50.0333;14.4167
CZ;14700;Hodkovičky;Hlavní město Praha;Hlavní město Praha;50.0333;14.4167
CZ;14800;Praha 4-Kunratice;Hlavní město Praha;Hlavní město Praha;50.8167;14.4167
CZ;14800;Praha 4-Chodov;Hlavní město Praha;Hlavní město Praha;50.8167;14.4167
CZ;14800;Chodov;Hlavní město Praha;Hlavní město Praha;50.8167;14.4167
CZ;14800;Kunratice;Hlavní město Praha;Hlavní město Praha;50.8167;14.4167
CZ;14900;Praha 4-Háje;Hlavní město Praha;Hlavní město Praha;49.85;14.2056
CZ;14900;Praha 4-Chodov;Hlavní město Praha;Hlavní město Praha;49.85;14.2056
CZ;14900;Praha 4-Újezd;Hlavní město Praha;Hlavní město Praha;49.85;14.2056
CZ;14900;Šeberov;Hlavní město Praha;Hlavní město Praha;50.0167;14.5167
CZ;14900;Praha 4-Šeberov;Hlavní město Praha;Hlavní město Praha;49.85;14.2056
CZ;14900;Praha 10-Hostivař;Hlavní město Praha;Hlavní město Praha;49.85;14.2056
CZ;14900;Chodov;Hlavní město Praha;Hlavní město Praha;49.85;14.2056
CZ;14900;Hostivař;Hlavní město Praha;Hlavní město Praha;49.85;14.2056
CZ;14900;Újezd;Hlavní město Praha;Hlavní město Praha;49.8333;13.8333
CZ;14900;Háje;Hlavní město Praha;Hlavní město Praha;49.7;14.2667
CZ;15000;Košíře;Hlavní město Praha;Hlavní město Praha;50.0667;14.3833
CZ;15000;Praha 5-Smíchov;Hlavní město Praha;Hlavní město Praha;50.0583;14.3917
CZ;15000;Smíchov;Hlavní město Praha;Hlavní město Praha;50.0583;14.3917
CZ;15000;Praha 5-Malá Strana;Hlavní město Praha;Hlavní město Praha;50.0583;14.3917
CZ;15000;Praha 5-Košíře;Hlavní město Praha;Hlavní město Praha;50.0583;14.3917
CZ;15000;Praha 5-Radlice;Hlavní město Praha;Hlavní město Praha;50.0583;14.3917
CZ;15000;Motol;Hlavní město Praha;Hlavní město Praha;50.0583;14.3917
CZ;15000;Radlice;Hlavní město Praha;Hlavní město Praha;50.05;14.4
CZ;15000;Malá Strana;Hlavní město Praha;Hlavní město Praha;50.0583;14.3917
CZ;15000;Praha 5-Motol;Hlavní město Praha;Hlavní město Praha;50.0583;14.3917
CZ;15200;Malá Chuchle;Hlavní město Praha;Hlavní město Praha;50.0333;14.4
CZ;15200;Praha 5-Hlubočepy;Hlavní město Praha;Hlavní město Praha;50.0333;14.4
CZ;15200;Praha 5-Malá Chuchle;Hlavní město Praha;Hlavní město Praha;50.0333;14.4
CZ;15200;Hlubočepy;Hlavní město Praha;Hlavní město Praha;50.0333;14.4
CZ;15300;Praha 5-Radotín;Hlavní město Praha;Hlavní město Praha;49.65;14.6
