Země;PSČ;SK-Město;SK-Kraj;SK-Okres;Latitude;Longtitude
SK;97401;Kostiviarska;Banskobystrický kraj;Banská Bystrica;48.7572;19.1425
SK;97401;Riečka;Banskobystrický kraj;Banská Bystrica;48.7562;19.0768
SK;97401;Podlavice;Banskobystrický kraj;Banská Bystrica;48.742;19.1058
SK;97401;Majer;Banskobystrický kraj;Banská Bystrica;48.7351;19.1793
SK;97401;Šalková;Banskobystrický kraj;Banská Bystrica;48.7378;19.2174
SK;97401;Kynceľová;Banskobystrický kraj;Banská Bystrica;48.7499;19.1857
SK;97401;Skubín;Banskobystrický kraj;Banská Bystrica;48.7376;19.1045
SK;97401;Dolná Mičiná;Banskobystrický kraj;Banská Bystrica;48.6754;19.2223
SK;97401;Čačín;Banskobystrický kraj;Banská Bystrica;48.6668;19.255
SK;97401;Uľanka;Banskobystrický kraj;Banská Bystrica;48.7844;19.1124
SK;97401;Prostredná Môlča;Banskobystrický kraj;Banská Bystrica;48.7157;19.2283
SK;97401;Sebedín;Banskobystrický kraj;Banská Bystrica;48.6338;19.2407
SK;97401;Špania Dolina;Banskobystrický kraj;Banská Bystrica;48.8075;19.1341
SK;97401;Čerín;Banskobystrický kraj;Banská Bystrica;48.6607;19.2454
SK;97401;Nemce;Banskobystrický kraj;Banská Bystrica;48.7622;19.1853
SK;97401;Môlča;Banskobystrický kraj;Banská Bystrica;48.7247;19.1846
SK;97401;Senica;Banskobystrický kraj;Banská Bystrica;48.7498;19.1895
SK;97401;Horná Mičiná;Banskobystrický kraj;Banská Bystrica;48.6989;19.2144
SK;97401;Sebedín - Bečov;Banskobystrický kraj;Banská Bystrica;48.7247;19.1846
SK;97401;Polkanová (č.d.1.2.3;Banskobystrický kraj;Banská Bystrica;48.7247;19.1846
SK;97401;Jakub;Banskobystrický kraj;Banská Bystrica;48.7681;19.1363
SK;97401;Horná Môlča;Banskobystrický kraj;Banská Bystrica;48.7075;19.2371
SK;97401;Dolná Môlča;Banskobystrický kraj;Banská Bystrica;48.721;19.2229
SK;97401;Bečov;Banskobystrický kraj;Banská Bystrica;48.6511;19.2414
SK;97405;Kráľová;Banskobystrický kraj;Banská Bystrica;48.7178;19.1336
SK;97405;Malachov;Banskobystrický kraj;Banská Bystrica;48.7103;19.0897
SK;97405;Rakytovce;Banskobystrický kraj;Banská Bystrica;48.7079;19.1187
SK;97405;Kremnička;Banskobystrický kraj;Banská Bystrica;48.6967;19.1276
SK;97405;Horné Pršany;Banskobystrický kraj;Banská Bystrica;48.6996;19.0833
SK;97405;Iliaš;Banskobystrický kraj;Banská Bystrica;48.7005;19.1435
SK;97405;Radvaň;Banskobystrický kraj;Banská Bystrica;48.7224;19.1344
SK;97411;Sásová;Banskobystrický kraj;Banská Bystrica;48.7546;19.157
SK;97411;Rudlová;Banskobystrický kraj;Banská Bystrica;48.7536;19.162
SK;97602;Turecká;Banskobystrický kraj;Banská Bystrica;48.8391;19.1148
SK;97602;Dolný Jelenec;Banskobystrický kraj;Banská Bystrica;48.8391;19.1148
SK;97602;Valentová;Banskobystrický kraj;Banská Bystrica;48.8391;19.1148
SK;97602;Polkanová (ostat.č.);Banskobystrický kraj;Banská Bystrica;48.8391;19.1148
SK;97602;Jergaly;Banskobystrický kraj;Banská Bystrica;48.8391;19.1148
SK;97602;Staré Hory;Banskobystrický kraj;Banská Bystrica;48.8391;19.1148
SK;97602;Horný Jelenec;Banskobystrický kraj;Banská Bystrica;48.8391;19.1148
SK;97602;Štubne;Banskobystrický kraj;Banská Bystrica;48.8391;19.1148
SK;97602;Motyčky;Banskobystrický kraj;Banská Bystrica;48.8391;19.1148
SK;97603;Dolný Harmanec;Banskobystrický kraj;Banská Bystrica;48.8218;19.0333
SK;97603;Harmanec;Banskobystrický kraj;Banská Bystrica;48.8218;19.0333
SK;97611;Selce;Banskobystrický kraj;Banská Bystrica;48.7626;19.203
SK;97611;Baláže;Banskobystrický kraj;Banská Bystrica;48.814;19.1957
SK;97611;Priechod;Banskobystrický kraj;Banská Bystrica;48.7831;19.2354
SK;97613;Podkonice;Banskobystrický kraj;Banská Bystrica;48.7999;19.2575
SK;97613;Slovenská Ľupča;Banskobystrický kraj;Banská Bystrica;48.7653;19.2755
SK;97613;Moštenica;Banskobystrický kraj;Banská Bystrica;48.8084;19.2905
